name,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
0,1,4,0,1,0,0,1,0,36864,393216,0,5584,4194304,4,16,823296,4096,4096,1,0,0,6.119539080360304,7.766264363644937,4,1344502417,0,0,224,271,0,0
1,1,4,0,1,0,0,1,0,4096,333616,585728,4564,4194304,4,16,942080,4096,4096,1,0,0,2.136244551538663,7.869709558361947,4,1331321630,0,0,224,271,0,0
2,1,4,0,1,0,0,1,0,36864,380928,0,5616,4194304,4,16,823296,4096,4096,1,0,0,0.7074423547329675,7.904712894797087,4,1343908395,0,0,224,271,0,0
3,1,3,0,1,0,0,1,0,20480,364544,0,5452,4194304,4,16,782336,4096,4096,1,0,0,3.4497666202385195,7.830936655962808,4,1340805474,0,0,224,271,0,0
4,1,6,0,1,0,0,1,0,28672,425984,249856,7354,4259840,4,16,987136,4096,4096,1,0,0,4.365003733337219,7.868815505522534,4,1335109490,0,0,224,271,0,0
5,1,11,1,1,0,0,1,0,9728,96256,0,11274,4194304,5,16,135168,4096,512,1,1,0,0.06116285224115448,7.965492963230492,5,1343925362,0,0,224,258,0,2
6,1,3,1,1,0,0,1,0,145408,16896,0,5360,4194304,4,16,188416,4096,512,0,5,5,0.416541661794913,6.050490242866234,8,1342150831,0,0,224,270,0,0
7,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.519152011501674,6.643807595934541,5,1333755894,0,0,224,8450,0,0
8,1,4,1,1,0,0,1,0,14848,108544,0,5872,4194304,4,16,143360,4096,512,0,3,3,2.4745000159258113,7.280479871030057,7,1338235275,0,0,224,270,0,0
9,1,6,0,1,0,0,1,0,28672,425984,249856,7354,4259840,4,16,987136,4096,4096,1,0,0,4.365003733337219,7.86912724647397,4,1335109490,0,0,224,271,0,0
10,1,3,0,1,0,0,1,0,12288,376832,0,5528,4194304,4,16,823296,4096,4096,1,0,0,5.961096780276274,7.92222907528523,4,1343676558,0,0,224,271,0,0
11,1,5,0,1,0,0,1,0,20480,405504,229376,5544,4259840,4,16,987136,4096,4096,1,0,0,3.927427269109975,7.865622111255108,4,1334823586,0,0,224,271,0,0
12,1,2,0,1,0,0,1,0,20480,389120,0,6119,4194304,4,16,782336,4096,4096,1,0,0,0.9056837402133149,7.965028773900303,4,1341585868,0,0,224,271,0,0
13,1,5,0,1,0,0,1,0,28672,421888,245760,7002,4259840,4,16,987136,4096,4096,1,0,0,4.2516646054999985,7.845500458312401,4,1335469004,0,0,224,271,0,0
14,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.5972473294727156,6.6443635434325525,5,1333758254,0,0,224,8450,0,439
15,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.8067363487314534,7.770264979684744,4,1332576541,0,0,224,271,0,0
16,1,5,0,1,0,0,1,0,28672,430080,245760,7014,4259840,4,16,995328,4096,4096,1,0,0,4.224082501265148,7.8524100089410425,4,1335210826,0,0,224,271,0,0
17,1,5,0,1,0,0,1,0,456192,105984,17408,4096,4194304,4,16,598016,4096,512,0,1,2,4.4978813316799355,6.363571202977832,5,591382,0,0,224,783,0,0
18,1,4,0,1,0,0,1,0,284672,26624,0,282192,4194304,4,16,323584,4096,512,1,2,0,0.16032872589902852,7.5672506066863985,6,1334382610,0,0,224,270,0,762
19,1,3,0,0,0,0,1,0,12800,12288,3072,5376,4194304,5,16,57344,4096,512,0,3,1,0.19743807838821048,6.081219388552115,9,1,0,0,240,559,0,0
20,1,7,1,1,1,0,1,0,18432,244224,1069948,8192,4194304,5,16,1363968,4096,512,1,3,1,4.164608791209801,7.980779434491256,9,1199997096,0,0,224,271,0,0
21,1,4,0,1,0,0,1,0,36864,380928,0,5568,4194304,4,16,823296,4096,4096,1,0,0,6.12246729089671,7.906946875160584,4,1344407918,0,0,224,271,0,0
22,1,4,1,1,0,0,1,0,15360,111104,0,6000,4194304,4,16,147456,4096,512,0,3,3,2.617643850195868,7.282127895605023,7,1338170434,0,0,224,270,0,0
23,1,6,0,1,0,0,1,0,20480,409555,593920,5613,4259840,4,16,1044480,4096,4096,1,0,0,1.4472620917641368,7.887649636654539,4,1333809269,0,0,224,271,0,0
24,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.6063360413071415,6.643661752884318,5,1333985852,0,0,224,8450,0,439
25,1,4,0,1,0,0,1,0,36864,397312,0,5680,4194304,4,16,823296,4096,4096,1,0,0,3.8241872477739123,7.731438958761934,4,1344581633,0,0,224,271,0,0
26,1,4,0,1,0,0,1,0,272384,26624,0,271584,4194304,4,16,307200,4096,512,1,0,0,4.367116866692618,7.703329453712627,4,1334194924,0,0,224,270,0,762
27,1,2,0,1,0,0,1,0,142336,24576,0,112794,4194304,5,16,192512,4096,512,1,5,0,0.41684622993819864,7.971125431717716,9,1297596187,0,0,224,258,0,111
28,1,9,1,0,0,0,1,0,364032,239104,0,312736,5368709120,6,16,618496,4096,512,0,0,0,3.5707740149330185,6.262577161696068,6,1343338715,0,0,240,34,0,0
29,1,3,0,0,0,0,1,0,36352,14336,6144,5376,4194304,5,16,81920,4096,512,0,3,1,0.2069200177871819,6.202473978335611,9,0,0,0,240,559,0,0
30,1,4,0,1,0,0,1,0,5632,387584,0,5432,4194304,4,16,823296,4096,512,1,0,1,4.059403157780898,7.852400145767033,4,1326871294,0,0,224,271,0,0
