name,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
10000.exe,1,1,0,0,0.10191042566270775,7.996507662182031,332,3,1522486135,0,0,224,258
10001.exe,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10002.exe,1,0,1,0,1.6610703272628786,7.738232761852952,332,5,1485930176,0,0,224,258
10003.exe,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10004.exe,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10005.exe,1,1,0,0,2.0960867003521213,7.965871283461739,332,5,1378565877,0,0,224,258
10006.exe,1,0,0,0,4.238408387562281,6.341243459446102,332,4,1063373680,0,0,224,271
10007.exe,1,1,2,1,0.11446338125913882,7.993955874221684,332,7,1391944495,0,0,224,783
10008.exe,1,0,0,0,3.4587948676502043,5.916399126492269,332,5,1002619712,0,0,224,270
10009.exe,1,1,2,1,3.029081174032456,7.999987077748846,332,7,1387937380,0,0,224,258
10010.exe,1,0,1,0,0.08153941234324169,7.478902546103904,332,4,1381069457,0,0,224,270
10011.exe,1,1,0,0,0.09800417566270775,7.993646109126136,332,3,1517678807,0,0,224,258
10012.exe,1,0,0,0,0.10191042566270775,7.5544280880195185,332,3,1498580014,0,0,224,258
10013.exe,1,0,0,0,0.10191042566270775,7.364795902912171,332,3,1511525531,0,0,224,34
10014.exe,1,0,0,0,6.2882777497520586,6.942342481820203,332,4,1384867440,0,0,224,259
10015.exe,1,0,0,1,0.085238686413312,4.742143629201318,332,5,1494505297,0,0,224,8462
10016.exe,1,0,0,0,3.904630653649771,6.070716172045358,332,3,1000915577,0,0,224,271
10017.exe,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10018.exe,1,0,0,0,0.10191042566270775,6.9792913950708835,332,3,1516090519,0,0,224,258
10019.exe,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10020.exe,1,0,0,0,4.790648503712119,7.210107400873202,332,4,1377706929,0,0,224,258
10021.exe,1,0,0,0,0.08153941234324169,7.155775517772301,332,3,1390213608,0,0,224,258
10022.exe,1,0,0,0,2.048047747269426,6.221504392783579,34404,6,1577599039,0,0,240,34
10023.exe,1,1,2,1,4.1420947174328635,7.918461030426947,332,3,1390567004,0,0,224,271
10024.exe,1,1,1,1,4.617894309842985,7.668251063803409,332,5,1245360803,0,0,224,271
10025.exe,1,0,0,0,0.10191042566270775,6.888877399402045,332,3,1512546731,0,0,224,34
10026.exe,1,0,1,0,1.6935179406458614,6.664528540295447,332,6,1594256728,0,0,224,8450
10027.exe,1,0,2,0,2.3754302953107778,6.714178534515431,332,6,286331153,0,0,224,258
10028.exe,1,0,0,0,3.296334310418985,6.482973953839951,332,4,1018662584,0,0,224,271
10029.exe,1,0,1,1,4.421284625561143,6.403453617755814,332,5,1245360803,0,0,224,271
10030.exe,1,0,0,0,1.343743300380821,6.553433967169685,332,4,1495658914,0,0,224,259
10031.exe,1,1,0,0,2.8872630083373396,7.615903921202244,332,2,0,0,0,224,271
10032.exe,1,1,4,1,1.511231327315535,7.9563057529603585,332,8,1067570613,0,0,224,386
