name,isSafe,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
4203,0,1,1,0,0,4.982223807122461,7.977085703332711,332,4,1342376926,0,0,224,271
947,0,1,0,0,0,0.4023792985675851,6.653804561394963,332,4,1319571264,0,0,224,271
3440,0,1,0,5,5,0.12943919267108936,6.045185034381859,332,8,1342354844,0,0,224,270
6260,1,1,0,0,0,3.2007692326601993,6.031631923438195,34404,6,1394855108,0,0,240,34
2460,0,1,1,1,0,0.2672130101558982,7.988948904040964,332,6,1213804776,0,0,224,258
4160,0,1,1,2,1,3.0387168006740306,7.719650911341127,332,6,1332147011,0,0,224,270
4984,0,1,1,0,0,0.7108998810026739,7.904657206399054,332,4,1343849227,0,0,224,271
5994,0,1,1,0,0,6.6295193210632215,7.875117934687768,332,4,1333619166,0,0,224,271
2301,0,1,0,0,0,6.604835837539553,7.371026265973635,332,4,1333485320,0,0,224,271
6161,0,1,1,3,1,4.164608791209801,7.980779434491256,332,9,1199997096,0,0,224,271
5419,0,1,1,0,0,4.3576475893938005,7.955156311924012,332,4,1327862943,0,0,224,271
3916,0,1,0,0,1,1.5177998274803455,6.6434410073850465,332,5,1333760698,0,0,224,8450
3795,0,1,1,0,0,3.456565661801261,7.921306231088784,332,4,1343329266,0,0,224,271
5473,0,1,1,0,0,4.224082501265148,7.8474531860025,332,4,1335210826,0,0,224,271
4361,0,1,0,0,0,2.6080500521801606,6.64371415471065,332,5,1333759195,0,0,224,8450
893,0,1,0,1,0,0.10191042566270775,5.9602227885848515,332,4,1403041888,0,0,224,258
5345,0,1,1,0,0,3.152268822501559,7.940972452768867,332,4,1334652129,0,0,224,271
4048,0,1,1,0,0,3.770000384660344,7.765768680062127,332,4,1332675903,0,0,224,271
4505,0,1,0,0,0,1.661304313284645,7.13846850228605,332,4,1335442823,0,0,224,270
2286,0,1,0,0,0,2.6075121105390924,6.643268331165142,332,5,1333758488,0,0,224,8450
