name,isSafe,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
2858,0,1,4,0,1,0,0,1,0,36864,380928,0,5568,4194304,4,16,823296,4096,4096,1,0,0,6.1199009610272235,7.906946875160584,4,1344407918,0,0,224,271,0,0
5398,0,1,4,0,1,0,0,1,0,36864,380928,0,5616,4194304,4,16,823296,4096,4096,1,0,0,0.7084391161331923,7.904780911389678,4,1343935512,0,0,224,271,0,0
6757,0,1,4,1,0,0,0,1,0,86016,242655,454656,82848,4259840,4,16,802816,4096,4096,1,0,0,3.3107761434277383,7.94648558985912,4,1331883114,0,0,224,271,0,0
819,0,1,4,1,1,0,0,1,0,112128,15872,0,109760,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.078421663123068,8,1334910069,0,0,224,270,0,278
6931,0,1,3,0,1,0,0,1,0,57344,389120,0,7136,4194304,4,16,823296,4096,4096,1,0,0,4.510340047798733,7.982228915050297,4,1345751731,0,0,224,271,0,0
3775,0,1,4,0,1,0,0,1,0,8704,433152,0,6236,4194304,4,16,819200,4096,512,1,0,0,0.08952421866257136,7.618843893970346,4,1305462840,0,0,224,271,0,0
3852,0,1,3,0,1,0,0,1,0,57344,401408,0,7168,4194304,4,16,823296,4096,4096,1,0,0,5.984742144850979,7.914589094312588,4,1345468244,0,0,224,271,0,0
4533,0,1,2,1,0,0,0,1,0,102912,5632,0,110272,4194304,4,16,122880,4096,512,0,0,0,1.6649936702546246,7.139049634734746,4,1335510137,0,0,224,270,0,2
5350,0,1,6,0,1,0,0,1,0,23552,134144,0,19939,4194304,5,16,258048,4096,512,1,4,0,0.020393135236084953,7.992583289576801,8,1336679084,0,0,224,258,0,148
4148,0,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.816399394457816,7.769359088218244,4,1332535995,0,0,224,271,0,0
