name,isSafe,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
1027.exe,0,0,0,0,0.7064531830020135,7.904387856574025,332,4,1343935512,0,0,224,271
1030.exe,0,1,0,0,0.40554835374125364,6.662870984666856,332,4,1319571264,0,0,224,271
1018.exe,0,1,0,0,1.2803168863704828,6.589576519494972,332,5,1419757278,0,0,224,258
1005.exe,0,1,2,2,3.4925743000817118,5.9497363803617205,332,6,1336076455,0,0,224,270
1470.exe,1,1,0,0,2.849753835534613,6.987939751113258,34404,5,1484853350,0,0,240,35
1247.exe,1,1,4,1,0.17014565200323517,5.975865744732137,34404,11,0,45568,185,240,39
1278.exe,1,1,0,0,3.636176794148281,5.937305272837303,332,5,1343345674,0,0,224,290
102.exe,0,0,5,0,0.41684622993819864,7.971085753522799,332,9,1297596187,0,0,224,258
1405.exe,1,1,3,1,0.2005819074398449,6.2862350807320215,34404,9,0,0,0,240,559
100.exe,0,0,0,0,6.063141726099688,7.9149572522386045,332,4,1345574579,0,0,224,271
1.exe,0,0,0,0,2.136244551538663,7.869709558361947,332,4,1331321630,0,0,224,271
147.exe,1,1,0,0,0.1833387916558982,5.43544638321732,332,5,1436499158,0,0,224,258
1198.exe,1,1,1,0,0.020393135236084953,6.6906726140069175,332,6,1494283392,0,0,224,290
1280.exe,1,1,0,0,0.08153941234324169,4.7720483258244775,332,3,1502728853,0,0,224,258
1074.exe,1,1,0,0,3.489735185567714,6.428122485520713,332,5,1343345235,0,0,224,290
1290.exe,1,1,1,0,1.6854226110768542,6.384960498141887,34404,7,1499373651,0,0,240,34
103.exe,0,0,0,0,4.258259086178153,7.871818447771083,332,4,1335342692,0,0,224,271
1129.exe,1,1,2,2,0.2108262677871819,6.715514659326925,332,9,1432138456,0,0,224,33166
1019.exe,0,0,1,0,0.26654043019931534,7.987129623332124,332,6,1213803377,0,0,224,258
1429.exe,1,1,4,1,0.17014565200323517,5.815431199883335,34404,11,3484,46080,223,240,39
1447.exe,1,1,0,0,2.9213740959510073,6.987600273959363,34404,5,1484857059,0,0,240,35
1003.exe,0,0,6,6,4.239066098565719,7.516326869300019,332,10,1333279220,0,0,224,270
1008.exe,0,0,4,0,0.020393135236084953,7.992092195912804,332,8,1337086863,0,0,224,258
1029.exe,0,0,1,1,3.9837350453792273,7.8232947005754525,332,5,1335725530,0,0,224,271
1028.exe,0,0,1,0,2.6586264643984645,7.771146592286367,332,4,1330803002,0,0,224,258
