name,isSafe,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
1983,0,1,0,5,0,0.16032872589902852,7.080536393436371,332,9,1334958489,0,0,224,270
4555,0,1,1,0,0,3.4573491973540427,7.921529797118785,332,4,1343201631,0,0,224,271
815,0,1,1,0,0,6.617049397224481,7.691160930814198,332,4,1333436105,0,0,224,271
5240,0,1,1,0,0,2.0733083081144748,7.74600160402063,332,5,1213377447,0,0,224,8450
5356,0,1,0,3,0,4.322433390501385,7.1732316184065805,332,6,1301029282,0,0,224,258
5977,0,1,0,1,1,4.246433195949993,7.195998375361865,332,5,1335900359,0,0,224,271
4761,0,1,0,5,0,0.16032872589902852,7.080746020907588,332,9,1335093636,0,0,224,270
3808,0,1,1,1,0,0.2667247289058982,7.988552036951676,332,6,1212821209,0,0,224,258
1513,0,1,1,3,2,3.0445513103208777,7.716175342814799,332,7,1332260705,0,0,224,270
4669,0,1,1,0,0,4.32496077608363,7.886985031239231,332,4,1332087689,0,0,224,271
3281,0,1,1,0,0,0.7085066178388447,7.90432265936008,332,4,1343891857,0,0,224,271
5725,0,1,1,0,0,2.0731087843435354,7.745118169069541,332,5,1213378792,0,0,224,8450
5193,0,1,1,1,0,0.2672130101558982,7.9871281101612315,332,6,1213803377,0,0,224,258
4291,0,1,0,0,0,1.5771066802569238,7.131317399053553,332,4,1335380450,0,0,224,270
3434,0,1,1,0,0,3.8067363487314534,7.769740595312929,332,4,1332576541,0,0,224,271
4762,0,1,1,0,0,0.9251509434172992,7.903437074589692,332,4,1341907127,0,0,224,271
6299,0,1,1,0,0,3.8067363487314534,7.767996940678723,332,4,1332576541,0,0,224,271
1957,0,1,1,0,0,4.973998823784681,7.976116146603138,332,4,1342351835,0,0,224,271
5631,0,1,0,0,0,4.364185954806592,6.829532955903706,332,4,1333999265,0,0,224,270
3881,0,1,0,4,0,0.16032872589902852,7.078438998274182,332,8,1334884851,0,0,224,270
1074,1,1,0,0,0,3.489735185567714,6.428122485520713,332,5,1343345235,0,0,224,290
1932,0,1,1,0,0,4.642197463520163,7.810536275600646,332,4,1341428367,0,0,224,271
6991,0,1,0,5,0,0.16032872589902852,7.0812130997618805,332,9,1334943628,0,0,224,270
1246,0,1,0,3,0,0.23653878450968063,7.271990443768053,332,7,1302251376,0,0,224,258
3444,0,1,1,0,0,4.9740096732617385,7.975587353275501,332,4,1342421975,0,0,224,271
2729,0,1,1,0,0,0.6417950218118956,7.9935994368050665,332,4,1331754463,0,0,224,271
755,0,1,0,0,0,2.6058640429280744,6.6438920777145025,332,5,1333759436,0,0,224,8450
5374,1,1,0,0,0,5.122855514124234,6.508618866268472,332,4,1267548724,0,0,224,258
5919,0,1,0,0,0,1.661304313284645,7.138414394631338,332,4,1335487226,0,0,224,270
1559,0,1,1,1,0,0.2516892155601961,7.988132448108367,332,6,1272498895,0,0,224,258
3983,0,1,1,0,0,3.454515374567281,7.9211850808039275,332,4,1343301636,0,0,224,271
5907,0,1,1,0,0,4.973305947003552,7.976083921408221,332,4,1342295985,0,0,224,271
1122,0,1,1,0,0,3.770000384660344,7.765371318877032,332,4,1332675903,0,0,224,271
2620,0,1,0,0,0,1.661304313284645,7.138457418000364,332,4,1335458466,0,0,224,270
5597,0,1,0,0,0,1.5771066802569238,7.130737787766246,332,4,1335368467,0,0,224,270
6129,0,1,0,0,0,2.6080500521801606,6.644140796808699,332,5,1333759896,0,0,224,8450
1390,0,1,1,0,0,4.005955575531081,7.731520444094418,332,4,1344755412,0,0,224,271
994,0,1,1,0,1,4.002402885015753,7.881513687928996,332,4,1302935608,0,0,224,271
5887,0,1,0,5,0,0.16032872589902852,7.0807225833421,332,9,1335126026,0,0,224,270
6632,0,1,0,5,0,0.16032872589902852,7.080756714866911,332,9,1335092598,0,0,224,270
284,0,1,1,4,0,0.020393135236084953,7.992711746781822,332,8,1337086863,0,0,224,258
6300,0,1,1,0,0,1.1369952838140192,7.968956830091725,332,4,1331844927,0,0,224,271
2176,0,1,1,0,0,5.960763998026255,7.92222907528523,332,4,1343676558,0,0,224,271
3589,0,1,1,0,0,1.5816454359651062,7.81612433408225,332,4,1334172810,0,0,224,271
7006,0,1,1,0,0,1.9489780380055324,7.63659104253899,332,3,1333546816,0,0,224,270
2944,0,1,0,0,0,2.6080500521801606,6.644140796808699,332,5,1333759896,0,0,224,8450
2680,1,1,0,0,0,0.24905252604825584,6.699096440460904,332,5,1436499257,0,0,224,258
6923,0,1,1,0,0,0.0738767076406503,7.578964669007099,332,4,1329409810,0,0,224,271
2044,0,1,0,0,1,1.5170340094889068,6.644047542284788,332,5,1333760257,0,0,224,8450
1477,0,1,1,0,0,5.962619372705045,7.922313448147056,332,4,1343676558,0,0,224,271
5469,0,1,1,0,0,0.7091693021887884,7.903969788556829,332,4,1344193048,0,0,224,271
3482,0,1,1,0,0,0.08219223432150993,7.920200833267679,332,4,1329409810,0,0,224,271
1100,0,1,1,0,0,3.8072317617062184,7.865997823085551,332,4,1334914772,0,0,224,271
2852,0,1,1,0,0,4.012074514597638,7.731603601479854,332,4,1344692537,0,0,224,271
5780,0,1,1,1,0,0.26674854074461596,7.988330047739369,332,6,1209742090,0,0,224,258
6982,0,1,1,0,0,0.7115733209801056,7.836718181499771,332,4,1331671113,0,0,224,271
1161,0,1,0,0,0,0.020393135236084953,6.830718758477937,332,4,1297997552,0,0,224,258
