name,isSafe,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
0,0,1,4,0,1,0,0,1,0,36864,393216,0,5584,4194304,4,16,823296,4096,4096,1,0,0,6.119539080360304,7.766264363644937,4,1344502417,0,0,224,271,0,0
1016,1,1,5,0,1,0,0,1,1,135168,36864,0,4096,4194304,4,16,217088,4096,512,0,1,1,0.1991075177871819,6.5271366570846,8,2075999889,0,0,224,33166,0,535
1,0,1,4,0,1,0,0,1,0,4096,333616,585728,4564,4194304,4,16,942080,4096,4096,1,0,0,2.136244551538663,7.869709558361947,4,1331321630,0,0,224,271,0,0
1024,1,1,6,0,0,0,0,1,0,9216,25088,3072,5328,4194304,5,16,61440,4096,512,0,4,1,0.19743807838821048,5.930586811687317,11,0,26624,92,240,39,0,0
10,0,1,3,0,1,0,0,1,0,12288,376832,0,5528,4194304,4,16,823296,4096,4096,1,0,0,5.961096780276274,7.92222907528523,4,1343676558,0,0,224,271,0,0
104,1,1,11,0,0,0,0,1,0,16896,37376,3072,5328,4194304,5,16,77824,4096,512,0,4,1,0.19743807838821048,5.922266154665931,11,33798176,38912,161,240,39,0,0
100,0,1,4,0,1,0,1,1,0,61440,401408,0,7536,4194304,4,16,823296,4096,4096,1,0,0,6.063141726099688,7.9149572522386045,4,1345574579,0,0,224,271,0,0
1040,1,1,9,1,1,0,0,1,0,299008,243712,0,287491,771751936,5,16,548864,4096,512,1,0,0,4.158856385149271,7.641480178882651,4,1267348397,0,0,224,258,0,1157
1000,0,1,3,0,1,0,0,1,0,12288,393216,0,6292,4194304,4,16,827392,4096,4096,1,0,0,4.983012926732353,7.98509626235543,4,1342594396,0,0,224,271,0,0
1043,1,1,1,0,0,0,0,0,0,35328,2560,0,43390,4194304,6,16,65536,8192,512,0,0,0,0.08153941234324169,5.755789509925003,3,1343348450,0,0,224,258,0,0
1001,0,1,4,0,1,0,0,1,0,190976,0,0,146979,4194304,5,16,241664,4096,512,0,1,0,5.938592021734701,6.848694937798637,5,1307308631,0,0,224,258,0,91
1049,1,1,4,0,0,0,0,1,1,9216,8704,3072,5376,4194304,5,16,49152,4096,512,0,3,1,0.19743807838821048,6.029400520652862,9,0,0,0,240,559,0,0
1002,0,1,4,0,1,0,0,1,0,28672,425984,249856,6970,4259840,4,16,987136,4096,4096,1,0,0,4.210414460260621,7.839232091812524,4,1335515320,0,0,224,271,0,0
1074,1,1,3,1,0,0,0,1,0,288768,82944,0,290237,4194304,6,16,475136,4096,512,0,0,0,3.489735185567714,6.428122485520713,5,1343345235,0,0,224,290,0,1672
1003,0,1,9,1,1,0,0,1,0,99840,50688,0,5120,4194304,4,16,180224,4096,512,1,6,6,4.239066098565719,7.516326869300019,10,1333279220,0,0,224,270,0,1200
1079,1,1,6,1,1,0,0,1,0,105984,7168,0,40220,16777216,5,16,139264,4096,512,0,0,0,1.0271276834268894,5.76405556706473,5,1328933650,0,0,240,34,0,0
1004,0,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.08081011455333,9,1335025454,0,0,224,270,0,301
1088,1,1,3,1,1,0,0,1,0,155136,243712,0,29948,5368709120,6,16,413696,4096,512,0,0,0,3.216555265792657,6.48373050016148,5,1485515224,0,0,240,35,0,0
1005,0,1,6,1,1,0,0,1,1,135168,14336,0,5584,4194304,4,16,163840,4096,512,0,2,2,3.4925743000817118,5.9497363803617205,6,1336076455,0,0,224,270,0,95
1104,1,1,5,0,1,0,0,1,0,93696,39936,6144,5376,4194304,5,16,159744,4096,512,0,3,1,0.1991075177871819,6.2882659935858864,9,145868,0,0,240,559,0,0
1006,0,1,3,1,0,0,0,1,0,94208,237306,499712,92382,4194304,4,16,847872,4096,4096,1,0,0,0.6417950218118956,7.994115126464375,4,1331754463,0,0,224,271,0,0
1115,1,1,18,1,1,0,0,1,1,119808,66048,0,104334,4194304,5,16,200704,4096,512,0,0,0,4.421092157646523,6.2541562697852475,5,1439586038,0,0,224,258,0,474
1007,0,1,2,1,0,0,0,1,0,2048,256000,0,4128,4194304,4,16,274432,4096,512,1,1,1,1.9411925072141014,7.729682851762602,5,1332591605,0,0,224,270,0,2
1116,1,1,11,0,0,0,0,1,0,15360,34816,3072,5328,4194304,5,16,73728,4096,512,0,4,1,0.19743807838821048,6.05856152649786,11,8181792,36352,154,240,39,0,0
1008,0,1,4,0,1,0,0,1,0,22528,136192,0,16184,4194304,5,16,262144,4096,512,1,4,0,0.020393135236084953,7.992092195912804,8,1337086863,0,0,224,258,0,156
1129,1,1,24,1,1,0,0,1,1,1056256,262656,0,1060868,4194304,5,16,1368064,4096,512,0,2,2,0.2108262677871819,6.715514659326925,9,1432138456,0,0,224,33166,0,14064
1009,0,1,4,1,1,0,0,1,0,98304,254687,434176,83039,4259840,4,16,806912,4096,4096,1,0,0,4.108738856680199,7.88062841341429,4,1331931721,0,0,224,271,0,0
1144,1,1,9,1,0,0,0,1,0,105472,16896,0,55292,16777216,5,16,147456,4096,512,0,0,0,1.7707360215706438,6.200611336492241,5,1328933607,0,0,240,34,0,0
101,0,1,2,1,0,0,0,1,0,94208,307678,491520,76137,4259840,4,16,913408,4096,4096,1,0,0,3.770000384660344,7.768100352216089,4,1332675903,0,0,224,271,0,0
1185,1,1,10,1,1,0,0,1,0,90112,19968,512,46557,4194304,6,16,131072,4096,512,0,2,1,4.174726192858374,6.22209893446948,6,1343342327,0,0,224,291,0,0
1010,0,1,4,0,1,0,0,1,0,36864,389120,0,5728,4194304,4,16,823296,4096,4096,1,0,0,0.7102209205690277,7.905044811639377,4,1343849227,0,0,224,271,0,0
1198,1,1,30,1,1,1,0,1,1,1072640,668160,0,653416,4194304,5,16,1769472,4096,512,0,1,0,0.020393135236084953,6.6906726140069175,6,1494283392,0,0,224,290,0,3642
1011,0,1,9,1,1,0,0,1,0,271872,50176,0,5120,4194304,4,16,352256,4096,512,1,5,5,4.242809589113418,7.635019867904836,9,1333096841,0,0,224,270,0,1199
1203,1,1,6,1,1,0,0,1,0,19456,17408,0,17951,4194304,6,16,53248,4096,512,0,0,0,2.8327156702266154,5.570581150778284,5,1343345674,0,0,224,290,0,883
1012,0,1,2,0,0,0,0,1,0,556032,86528,0,692244,4194304,4,16,3104768,4096,512,1,3,0,1.4352454442333689,7.97987722497825,4,1331331528,0,0,224,33166,0,0
1215,1,1,10,0,0,0,0,1,0,19968,40960,3072,5328,4194304,5,16,77824,4096,512,0,4,1,0.19743807838821048,5.967905875732546,11,17635360,42496,181,240,39,0,0
1013,0,1,2,1,0,0,0,1,0,103424,4608,0,9296,4194304,4,16,122880,4096,512,0,0,0,2.0311300390555593,7.1221420844028405,4,1335847362,0,0,224,270,0,2
1219,1,1,1,0,0,0,0,0,0,6656,3072,0,14782,4194304,5,16,32768,8192,512,0,0,0,0.08153941234324169,5.579406908556555,3,1343349327,0,0,224,258,0,0
1014,0,1,4,0,1,0,1,1,0,45056,409600,0,5952,4194304,4,16,823296,4096,4096,1,0,0,4.005955575531081,7.731520444094418,4,1344755412,0,0,224,271,0,0
1221,1,1,10,1,1,0,0,1,1,32256,23552,0,33088,5368709120,10,16,73728,4096,512,0,0,0,1.326451115586412,6.183300387982497,6,1436498103,0,0,240,34,0,0
1015,0,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.816399394457816,7.769359088218244,4,1332535995,0,0,224,271,0,0
1229,1,1,10,0,0,0,0,1,0,12800,31232,3072,5328,4194304,5,16,69632,4096,512,0,4,1,0.19743807838821048,5.915156076712769,11,0,32768,136,240,39,0,0
1017,0,1,4,0,1,0,0,1,0,5632,387584,0,5424,4194304,4,16,823296,4096,512,1,0,1,4.086571917038139,7.852316766283852,4,1326871294,0,0,224,271,0,0
1245,1,1,12,0,0,0,0,1,0,46080,11776,0,39888,4194304,10,16,69632,4096,512,0,0,0,2.7328856968580832,6.565954045831292,5,1456227446,0,0,224,258,0,131
1018,0,1,7,1,0,0,0,1,1,33792,310272,0,10754,4194304,5,16,14766080,4096,512,0,0,0,1.2803168863704828,6.589576519494972,5,1419757278,0,0,224,258,0,171
1247,1,1,11,0,0,0,0,1,0,22528,44032,3072,5328,4194304,5,16,81920,4096,512,0,4,1,0.17014565200323517,5.975865744732137,11,0,45568,185,240,39,0,0
1019,0,1,2,0,0,0,0,0,0,60928,371712,0,427582,65536,5,16,434176,512,512,1,1,0,0.26654043019931534,7.987129623332124,6,1213803377,0,0,224,258,0,77
1249,1,1,3,1,0,0,0,1,0,232448,46080,3072,5376,4194304,5,16,303104,4096,512,0,3,1,0.2044881574398449,5.576852040832547,9,292924,0,0,240,559,0,0
102,0,1,2,0,1,0,0,1,0,142336,24576,0,112794,4194304,5,16,192512,4096,512,1,5,0,0.41684622993819864,7.971085753522799,9,1297596187,0,0,224,258,0,111
1278,1,1,5,1,1,0,0,1,0,25088,26112,0,18101,4194304,6,16,69632,4096,512,0,0,0,3.636176794148281,5.937305272837303,5,1343345674,0,0,224,290,0,535
1020,0,1,2,1,0,0,0,1,0,269824,4608,0,9296,4194304,4,16,286720,4096,512,1,0,0,2.037838402088327,7.723998517676202,4,1335887425,0,0,224,270,0,2
1280,1,1,1,0,0,0,0,0,0,7680,2560,0,15598,4194304,4,16,32768,8192,512,0,0,0,0.08153941234324169,4.7720483258244775,3,1502728853,0,0,224,258,0,0
1021,0,1,4,0,1,0,0,1,0,5120,18432,0,775360,4259840,4,16,806912,4096,512,0,0,0,0.42013066021895284,7.07822276103097,4,1319571264,0,0,224,271,0,0
1290,1,1,5,0,1,0,0,1,0,720896,325120,0,636832,5368709120,5,16,1064960,4096,512,0,1,0,1.6854226110768542,6.384960498141887,7,1499373651,0,0,240,34,0,0
1022,0,1,4,1,1,0,0,1,0,98304,254687,434176,83023,4259840,4,16,806912,4096,4096,1,0,0,4.086669353921806,7.8783612538534555,4,1332063510,0,0,224,271,0,0
1299,1,1,10,1,1,0,0,1,0,28160,24576,0,29808,5368709120,6,16,69632,4096,512,0,0,0,0.9124984239799321,6.15560848445759,6,1475208408,0,0,240,34,0,0
1023,0,1,4,0,1,0,0,1,0,28672,409600,4096,6533,4259840,4,16,819200,4096,4096,1,1,1,3.941824379038024,7.823350089735056,5,1335808610,0,0,224,271,0,0
1306,1,1,11,0,0,0,0,1,0,13824,33792,3072,5328,4194304,5,16,73728,4096,512,0,4,1,0.19743807838821048,5.923264653269201,11,36268064,35328,162,240,39,0,0
1025,0,1,5,0,1,0,1,1,0,36864,397312,0,5744,4194304,4,16,823296,4096,4096,1,0,0,3.8843141505467034,7.736993399135079,4,1344608860,0,0,224,271,0,0
1331,1,1,1,0,0,0,0,0,0,12288,2048,0,20270,4194304,6,16,40960,8192,512,0,0,0,0.08153941234324169,5.323764096606868,3,1412242031,0,0,224,258,0,0
1026,0,1,3,1,0,0,0,1,0,161280,9728,0,4096,4194304,5,16,221184,4096,512,1,5,0,0.43710972513537405,7.88952929544563,9,1295047889,0,0,224,258,0,148
1352,1,1,1,0,0,0,0,0,0,24576,8192,0,28910,4194304,4,16,49152,8192,4096,0,0,0,0.013126943721219527,4.941983583452172,3,1430976848,0,0,224,270,0,0
1027,0,1,4,0,1,0,0,1,0,36864,380928,0,5616,4194304,4,16,823296,4096,4096,1,0,0,0.7064531830020135,7.904387856574025,4,1343935512,0,0,224,271,0,0
1362,1,1,11,1,1,1,0,1,0,26112,15872,0,27808,5368709120,10,16,61440,4096,512,0,0,0,0.37479724348767507,6.148345497772606,6,1436498704,0,0,240,34,0,0
1028,0,1,5,0,1,0,0,1,0,163840,11264,0,95442,4194304,5,16,184320,4096,512,1,1,0,2.6586264643984645,7.771146592286367,4,1330803002,0,0,224,258,0,201
1391,1,1,3,0,1,0,0,1,0,173056,161792,0,29468,5368709120,6,16,352256,4096,512,0,0,0,3.2314735720873746,6.957584133976991,5,1484853358,0,0,240,1059,0,0
1029,0,1,4,0,1,0,0,1,0,28672,409600,4096,6539,4259840,4,16,819200,4096,4096,1,1,1,3.9837350453792273,7.8232947005754525,5,1335725530,0,0,224,271,0,0
1396,1,1,3,0,0,0,0,1,0,22528,7168,1024,4096,4194304,4,16,49152,4096,512,0,1,2,4.142605811880923,6.309384811924608,5,45732,0,0,224,783,0,0
103,0,1,5,0,1,0,0,1,1,28672,434176,249856,7018,4259840,4,16,995328,4096,4096,1,0,0,4.258259086178153,7.871818447771083,4,1335342692,0,0,224,271,0,0
1402,1,1,2,0,0,0,0,1,0,43008,45056,0,5222,4194304,5,16,106496,4096,512,0,1,0,1.4311553379234763,6.612654445206683,6,1492824904,0,0,224,258,0,278
1030,0,1,4,0,1,0,0,1,0,5632,16896,0,789524,4259840,4,16,819200,4096,512,0,0,0,0.40554835374125364,6.662870984666856,4,1319571264,0,0,224,271,0,0
1405,1,1,6,0,1,0,0,1,0,302592,94208,7680,5376,4194304,5,16,425984,4096,512,0,3,1,0.2005819074398449,6.2862350807320215,9,0,0,0,240,559,0,0
1031,0,1,4,0,1,0,0,1,0,284672,26624,0,282192,4194304,4,16,323584,4096,512,1,2,0,0.16032872589902852,7.567120056149098,6,1334368215,0,0,224,270,0,762
1414,1,1,26,0,0,1,0,0,0,18432,16896,0,20256,5368709120,10,16,53248,4096,512,0,0,0,0.30140680731160896,6.094760092066886,6,1436498595,0,0,240,34,0,0
1032,0,1,6,1,1,0,0,1,0,94208,286190,413696,76357,4259840,4,16,815104,4096,4096,1,0,0,4.082515576394125,7.7736256070550125,4,1332360683,0,0,224,271,0,0
1418,1,1,1,0,0,0,0,1,0,177152,374784,0,52995,4194304,5,16,565248,4096,512,0,0,0,3.181345803687275,6.617346930872762,5,1503984615,0,0,224,290,0,737
1033,0,1,4,0,1,0,0,1,0,112128,26624,0,111632,4194304,4,16,147456,4096,512,0,0,0,4.372180935038344,6.979336947554409,4,1334326819,0,0,224,270,0,762
1429,1,1,12,0,0,0,0,1,0,19456,44544,3072,5328,4194304,5,16,81920,4096,512,0,4,1,0.17014565200323517,5.815431199883335,11,3484,46080,223,240,39,0,0
1034,0,1,3,1,0,0,0,1,0,102912,5632,0,110208,4194304,4,16,122880,4096,512,0,0,0,1.5771066802569238,7.130742035029875,4,1335363625,0,0,224,270,0,2
1445,1,1,3,0,0,0,0,1,0,29184,7168,1024,4096,4194304,4,16,57344,4096,512,0,1,2,3.7194269026998916,6.288502891109911,5,54004,0,0,224,783,0,0
1035,0,1,5,0,1,0,0,1,0,49152,97280,0,30406,4194304,5,16,159744,4096,512,1,0,0,4.539365694133828,7.972865453585208,4,1341586878,0,0,224,258,0,149
1446,1,1,23,0,0,0,0,0,0,15360,10240,0,10016,4194304,10,16,45056,4096,512,0,1,0,0.16299007530476972,5.8278160856524766,6,1436498745,0,0,224,258,0,6
1036,0,1,3,1,1,0,0,1,0,43008,120320,0,4096,4194304,4,16,208896,4096,512,0,9,9,0.7084378349416649,6.542697177562643,12,1339892616,0,0,224,270,0,0
1447,1,1,5,0,1,0,0,1,0,21504,82944,0,22672,5368709120,6,16,122880,4096,512,0,0,0,2.9213740959510073,6.987600273959363,5,1484857059,0,0,240,35,0,0
1037,0,1,4,1,0,0,0,1,0,5632,384512,0,5416,4194304,4,16,823296,4096,512,1,0,1,4.073131653389981,7.8823116549644965,4,0,0,0,224,271,0,0
1462,1,1,5,1,0,0,0,1,1,69120,49152,0,19785,4194304,6,16,139264,4096,512,0,0,0,3.114451690092134,6.651557665689623,5,1394593366,0,0,224,290,0,450
1038,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5208856426989248,6.6440440229725315,5,1333756130,0,0,224,8450,0,0
1463,1,1,3,0,0,0,0,1,0,15360,5120,1024,4096,4194304,4,16,36864,4096,512,0,1,2,4.135042108315245,6.125461228267647,5,33440,0,0,224,783,0,0
1039,0,1,2,0,1,0,0,1,0,159232,15872,0,133118,4194304,5,16,184320,4096,512,1,0,0,3.2671024512589093,7.894381479354654,4,1300517907,0,0,224,258,0,165
1467,1,1,12,0,0,0,0,1,0,38912,69632,49664,5328,4194304,5,16,155648,4096,512,0,4,1,0.2108262677871819,5.9543333397037586,11,25061408,71168,267,240,39,0,0
1041,0,1,6,0,1,0,0,1,0,20480,430080,36864,5557,4259840,4,16,892928,4096,4096,1,0,0,1.5816454359651062,7.81612433408225,4,1334172810,0,0,224,271,0,0
147,1,1,4,1,0,0,0,1,0,4608,31744,0,6688,4194304,10,16,53248,4096,512,0,0,0,0.1833387916558982,5.43544638321732,5,1436499158,0,0,224,258,0,6
1042,0,1,2,0,1,0,0,1,0,12288,389120,0,5560,4194304,4,16,823296,4096,4096,1,0,0,3.4553832969056413,7.9218964925805215,4,1343160515,0,0,224,271,0,0
1470,1,1,5,0,1,0,0,1,0,18944,82432,0,20288,5368709120,6,16,118784,4096,512,0,0,0,2.849753835534613,6.987939751113258,5,1484853350,0,0,240,35,0,0
1044,0,1,7,1,1,1,0,1,0,147456,61440,0,79418,1677721600,4,16,229376,4096,4096,0,0,1,1.782465055457519,6.621765464638633,5,1325126608,0,0,224,8450,0,0
1476,1,1,11,0,0,0,0,1,0,21504,43008,3072,5328,4194304,5,16,81920,4096,512,0,4,1,0.17014565200323517,6.0610493413759,11,65536,44544,198,240,39,0,0
1045,0,1,4,1,1,0,0,1,0,112128,15872,0,109760,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.078424304871049,8,1334899259,0,0,224,270,0,278
1478,1,1,10,0,0,0,0,1,0,12288,30208,9216,5328,4194304,5,16,73728,4096,512,0,4,1,0.19743807838821048,5.889542710271865,11,7,31744,143,240,39,0,0
1046,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5192744608933864,6.643716243363036,5,1333985584,0,0,224,8450,0,0
1492,1,1,0,0,0,0,0,0,0,20480,16384,0,0,4194304,4,16,49152,8192,4096,0,0,0,3.6699180217725145,5.166512648243993,2,1238347321,0,0,240,302,0,0
1047,0,1,4,1,1,0,0,1,0,112128,15872,0,109696,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.077602754744373,8,1334820250,0,0,224,270,0,278
1496,1,1,3,0,0,0,0,1,0,31744,115200,4096,5344,4194304,4,16,143360,4096,512,0,3,1,0.2005819074398449,7.295959774595806,9,0,116736,0,224,271,0,0
1048,0,1,4,0,1,0,0,1,0,57344,385024,0,13104,4194304,4,16,823296,4096,4096,1,0,0,4.531028169936355,7.697241534480787,4,1345809188,0,0,224,271,0,0
1499,1,1,4,1,1,0,0,1,0,40960,24576,0,4096,4194304,4,16,151552,4096,512,0,1,1,0.20153937813451883,7.25197997152305,8,2170043654,0,0,224,33166,1,227
105,0,1,4,0,1,0,0,1,0,20480,419138,401408,6109,4259840,4,16,856064,4096,4096,1,0,0,6.6136989996458535,7.565074674580706,4,1333306672,0,0,224,271,0,0
1527,1,1,8,0,0,0,0,1,1,44544,75776,0,46500,5368709120,5,16,135168,4096,512,0,0,0,3.129867376672118,6.068556120812678,6,1484588937,0,0,240,34,0,0
1050,0,1,2,0,0,0,0,0,0,60928,371712,0,427582,65536,5,16,434176,512,512,1,1,0,0.2677012914058982,7.9875981728237235,6,1213886148,0,0,224,258,0,77
1550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
1051,0,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.8067363487314534,7.765791820066371,4,1332576541,0,0,224,271,0,0
1564,1,1,10,1,1,1,0,1,1,826368,517632,0,4770,4194304,5,16,1368064,4096,512,0,0,0,2.9765818199559635,6.593242846527485,5,1439586059,0,0,224,258,0,5354
1052,0,1,2,1,0,0,0,1,0,160768,9728,0,4096,4194304,5,16,249856,4096,512,1,6,0,0.37387747993819864,7.891343749671477,10,1295044304,0,0,224,258,1,160
1569,1,1,7,1,1,0,0,1,1,39936,140288,0,8220,4194304,5,16,208896,4096,512,1,0,0,2.11336016719608,7.772729380209795,5,1354555317,0,0,224,258,0,141
1053,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.607859438814721,6.6440440229725315,5,1333756130,0,0,224,8450,0,439
1570,1,1,9,0,0,0,0,1,0,3584,78848,0,5872,4194304,10,16,98304,4096,512,0,0,0,0.1833387916558982,7.2756368969388765,5,1436499020,0,0,224,258,0,7
1054,0,1,4,0,1,0,0,1,0,8704,433152,0,6192,4194304,4,16,819200,4096,512,1,0,0,0.08952421866257136,7.619027799135151,4,1305462840,0,0,224,271,0,0
1581,1,1,7,1,1,0,0,1,1,144896,50176,0,47086,4194304,5,16,221184,4096,512,0,0,0,2.448429755571423,6.809354576147138,4,1233230229,0,0,224,259,0,0
1055,0,1,3,1,1,0,0,1,0,145408,46592,0,5248,4194304,4,16,217088,4096,512,0,5,5,0.12943919267108936,6.044981641402787,8,1342209681,0,0,224,270,0,0
