Identifier,Label
0,malware
1,malware
2,malware
3,malware
4,malware
5,malware
6,malware
7,malware
8,malware
9,malware
10,malware
11,malware
12,malware
13,malware
14,malware
15,malware
16,malware
17,safe
18,malware
19,safe
20,malware
21,malware
22,malware
23,malware
24,malware
25,malware
26,malware
27,malware
28,safe
29,safe
30,malware
31,malware
32,safe
33,malware
34,malware
35,safe
36,malware
37,malware
38,malware
39,malware
40,malware
41,safe
42,malware
43,malware
44,malware
45,malware
46,malware
47,malware
48,malware
49,malware
50,malware
51,safe
52,malware
53,malware
54,malware
55,malware
56,malware
57,malware
58,malware
59,safe
60,malware
61,safe
62,malware
63,malware
64,malware
65,malware
66,malware
67,malware
68,malware
69,malware
70,malware
71,malware
72,malware
73,safe
74,malware
75,malware
76,malware
77,malware
78,malware
79,malware
80,malware
81,safe
82,malware
83,malware
84,malware
85,malware
86,malware
87,malware
88,malware
89,malware
90,malware
91,malware
92,malware
93,malware
94,malware
95,malware
96,malware
97,malware
98,malware
99,malware
100,malware
101,malware
102,malware
103,malware
104,safe
105,malware
106,malware
107,malware
108,malware
109,malware
110,malware
111,malware
112,malware
113,malware
114,malware
115,malware
116,malware
117,malware
118,malware
119,malware
120,malware
121,malware
122,malware
123,malware
124,malware
125,malware
126,malware
127,malware
128,malware
129,malware
130,malware
131,malware
132,malware
133,malware
134,malware
135,malware
136,malware
137,malware
138,malware
139,malware
140,malware
141,malware
142,malware
143,malware
144,malware
145,malware
146,malware
147,safe
148,malware
149,malware
150,malware
151,malware
152,malware
153,malware
154,malware
155,malware
156,malware
157,malware
158,malware
159,malware
160,safe
161,malware
162,malware
163,malware
164,malware
165,malware
166,malware
167,malware
168,malware
169,malware
170,malware
171,malware
172,malware
173,malware
174,malware
175,malware
176,malware
177,malware
178,malware
179,malware
180,malware
181,malware
182,malware
183,malware
184,safe
185,malware
186,malware
187,malware
188,malware
189,malware
190,malware
191,malware
192,malware
193,malware
194,malware
195,malware
196,malware
197,malware
198,safe
199,safe
200,malware
201,malware
202,malware
203,malware
204,malware
205,safe
206,malware
207,malware
208,malware
209,malware
210,malware
211,malware
212,malware
213,malware
214,malware
215,malware
216,malware
217,malware
218,malware
219,malware
220,malware
221,safe
222,malware
223,malware
224,malware
225,malware
226,malware
227,malware
228,malware
229,malware
230,malware
231,malware
232,malware
233,malware
234,malware
235,malware
236,malware
237,malware
238,malware
239,malware
240,malware
241,malware
242,malware
243,malware
244,malware
245,malware
246,malware
247,safe
248,malware
249,malware
250,safe
251,malware
252,malware
253,malware
254,malware
255,malware
256,malware
257,safe
258,malware
259,malware
260,malware
261,malware
262,malware
263,malware
264,malware
265,malware
266,malware
267,malware
268,malware
269,malware
270,malware
271,malware
272,malware
273,malware
274,malware
275,malware
276,malware
277,malware
278,malware
279,malware
280,malware
281,malware
282,malware
283,malware
284,malware
285,malware
286,malware
287,malware
288,malware
289,malware
290,malware
291,malware
292,malware
293,malware
294,malware
295,malware
296,safe
297,malware
298,malware
299,malware
300,safe
301,malware
302,malware
303,malware
304,malware
305,malware
306,malware
307,malware
308,malware
309,malware
310,malware
311,malware
312,malware
313,malware
314,safe
315,malware
316,malware
317,safe
318,malware
319,malware
320,malware
321,malware
322,malware
323,malware
324,malware
325,malware
326,malware
327,malware
328,malware
329,malware
330,malware
331,malware
332,malware
333,malware
334,malware
335,malware
336,malware
337,malware
338,malware
339,malware
